variant	parent
BF.39	BA.5.2.1
BF.4	BA.5.2.1
BF.40	BA.5.2.1
BF.41	BA.5.2.1
BF.5	BA.5.2.1
BF.6	BA.5.2.1
BF.7	BA.5.2.1
BF.7.20	BF.7
BF.7.21	BF.7
BF.7.27	BF.7
BF.7.4	BF.7
BF.7.4.1	BF.7.4
BF.7.5	BF.7
BF.7.6	BF.7
BF.7.7	BF.7
BF.8	BA.5.2.1
BF.9	BA.5.2.1
BG.2	BA.2.12.1
BG.4	BA.2.12.1
BG.5	BA.2.12.1
BK.1	BA.5.1.10
BL.1	BA.2.75.1
BM.1.1	BA.2.75.3
BM.1.1.3	BM.1.1
BM.4.1.1	BA.2.75.3
BN.1	BA.2.75.5
BN.1.1	BN.1
BN.1.2	BN.1
BN.1.3	BN.1
BN.1.3.1	BN.1.3
BN.1.3.6	BN.1.3
BN.1.4	BN.1
BN.1.5	BN.1
BN.1.7	BN.1
BQ.1	BE.1.1.1
BQ.1.1	BQ.1
BQ.1.10	BQ.1
BQ.1.10.1	BQ.1.10
BQ.1.10.2	BQ.1.10
BQ.1.1.1	BQ.1.1
BQ.1.11	BQ.1
BQ.1.1.10	BQ.1.1
BQ.1.1.13	BQ.1.1
BQ.1.1.15	BQ.1.1
BQ.1.1.18	BQ.1.1
BQ.1.1.2	BQ.1.1
BQ.1.12	BQ.1
BQ.1.1.23	BQ.1.1
BQ.1.1.27	BQ.1.1
BQ.1.1.28	BQ.1.1
BQ.1.1.3	BQ.1.1
BQ.1.13	BQ.1
BQ.1.13.1	BQ.1.13
BQ.1.1.32	BQ.1.1
BQ.1.1.35	BQ.1.1
BQ.1.1.4	BQ.1.1
BQ.1.14	BQ.1
BQ.1.1.40	BQ.1.1
BQ.1.1.41	BQ.1.1
BQ.1.1.43	BQ.1.1
BQ.1.1.5	BQ.1.1
BQ.1.15	BQ.1
BQ.1.1.51	BQ.1.1
BQ.1.1.52	BQ.1.1
BQ.1.1.54	BQ.1.1
BQ.1.1.57	BQ.1.1
BQ.1.1.6	BQ.1.1
BQ.1.1.63	BQ.1.1
BQ.1.1.65	BQ.1.1
BQ.1.1.67	BQ.1.1
BQ.1.1.68	BQ.1.1
BQ.1.1.69	BQ.1.1
BQ.1.1.7	BQ.1.1
BQ.1.1.74	BQ.1.1
BQ.1.18	BQ.1
BQ.1.2	BQ.1
BQ.1.2.1	BQ.1.2
BQ.1.22	BQ.1
BQ.1.23	BQ.1
BQ.1.25	BQ.1
BQ.1.25.1	BQ.1.25
BQ.1.27	BQ.1
BQ.1.28	BQ.1
BQ.1.3	BQ.1
BQ.1.32	BQ.1
BQ.1.4	BQ.1
BQ.1.5	BQ.1
BQ.1.6	BQ.1
BQ.1.7	BQ.1
BQ.1.8	BQ.1
BQ.1.9	BQ.1
BR.1	BA.2.75
BR.1.2	BR.1
BR.2.1	BA.2.75
BU.1	BA.5.2.16
BW.1	BA.5.6.2
BW.1.1	BW.1
BW.1.1.1	BW.1.1
BY.1	BA.2.75
BZ.2	BA.5.2.3
CA.1	BA.2.75.2
CA.3.1	BA.2.75.2
CA.5	BA.2.75.2
CH.1.1	BM.4.1.1
CH.1.1.1	CH.1.1
CH.1.1.2	CH.1.1
CK.1	BA.5.2.24
CK.2.1	BA.5.2.24
CK.2.1.1	CK.2.1
CL.1	BA.5.1
CM.2	BA.2.3.20
CM.8.1	BA.2.3.20
CN.1	BA.5.2.21
CN.2	BA.5.2.21
CP.1	BA.5.2.6
CQ.2	BE.4.1
CR.1.1	BA.5.2
CZ.2	BQ.1.1.1
DF.1	BA.5.10.1
DF.1.1	DF.1
DL.1	BA.5.1.15
DR.1	BQ.1.1.3
DR.2	BQ.1.1.3
DT.2	BQ.1.1.32
EB.1	BA.5.1.35
ED.2	BQ.1.1.18
ED.3	BQ.1.1.18
EE.1	BQ.1.1.4
EE.2	BQ.1.1.4
EE.5	BQ.1.1.4
EF.1	BQ.1.1.13
EF.1.1	EF.1
EK.2	XBB.1.5.13
EW.2	BQ.1.1
FD.2	XBB.1.5.15
other	BA.2
XAP	BA.2
XAS	BA.2
XAZ	BA.2
XBB	BA.2
XBB.1	XBB
XBB.1.1	XBB.1
XBB.1.15	XBB.1
XBB.1.5	XBB.1
XBB.1.5.1	XBB.1.5
XBB.1.5.10	XBB.1.5
XBB.1.5.11	XBB.1.5
XBB.1.5.13	XBB.1.5
XBB.1.5.15	XBB.1.5
XBB.1.5.16	XBB.1.5
XBB.1.5.17	XBB.1.5
XBB.1.5.19	XBB.1.5
XBB.1.5.2	XBB.1.5
XBB.1.5.20	XBB.1.5
XBB.1.5.21	XBB.1.5
XBB.1.5.3	XBB.1.5
XBB.1.5.30	XBB.1.5
XBB.1.5.31	XBB.1.5
XBB.1.5.32	XBB.1.5
XBB.1.5.33	XBB.1.5
XBB.1.5.34	XBB.1.5
XBB.1.5.35	XBB.1.5
XBB.1.5.39	XBB.1.5
XBB.1.5.4	XBB.1.5
XBB.1.5.5	XBB.1.5
XBB.1.5.7	XBB.1.5
XBB.1.5.9	XBB.1.5
XBB.1.7	XBB.1
XBB.1.9	XBB.1
XBB.1.9.1	XBB.1.9
XBB.2	XBB
XBB.2.5	XBB.2
XBB.2.6	XBB.2
XBB.3	XBB
XBB.6.1	XBB
XBE	BA.2
XBF	BA.2
XE	BA.2
XZ	BA.2
